ID,ID2,Sex,BloodCollectionDate,DigestiveState,BodyMass,OXY,dROMs,Protein,Triglyceride,Glycerol
F1,101,F,2014-11-19,Non,219.4,345.2810899,0.630484433,44.8891371,0.84,0.75
F3,103,F,2014-12-03,Non,.,358.1948997,0.880255742,51.140639,1.43,0.99
F4,104,F,2014-12-03,Non,.,405.4498793,0.723566342,50.19133143,0.66,0.81
F6,106,F,2014-12-03,Non,.,380.9080828,1.13254915,62.30133036,0.66,1.49
F7,107,F,2014-12-03,Non,.,357.6682359,0.422315151,51.38416202,0.7,1.03
F8,108,F,2014-12-03,Non,.,381.735477,0.584700103,52.19682991,0.6,1.01
F9,109,F,2014-11-19,Non,255.4,366.7904328,0.581256055,51.76198558,2.37,0.81
F10,110,F,2014-12-03,Non,.,363.3983396,0.961677839,51.62087594,1.4,0.9
F11,111,F,2014-10-29,Non,230.1,154.9656914,0.539584168,41.97449126,0.13,1.32
F13,113,F,2014-10-15,Non,218.5,374.0680162,0.683111795,60.71477118,1.65,0.9
F14,114,F,2014-10-29,Non,185.8,309.375458,0.58735177,51.75421546,0.93,0.65
F15,115,F,2014-11-19,Non,291.9,361.1243078,0.755130804,55.25062732,0.3,0.73
F16,116,F,2014-11-19,Non,208.8,380.8108932,0.831210203,58.26200337,1.61,1.47
F20,120,F,2014-10-29,Non,223.6,403.1171907,0.584956143,58.13107053,1.64,1.06
F23,123,F,2014-11-19,Non,189.3,390.6519059,0.75632078,54.31746007,1.84,0.83
F24,124,F,2014-11-19,Non,221.5,296.5426347,0.8388732,.,.,.
F25,125,F,2014-10-29,Non,207.7,372.6125011,0.669026161,48.05573879,0.59,1.11
F30,130,F,2014-10-15,Non,231.7,380.3579335,0.728569163,48.77583017,1.45,1.3
M2,202,M,2014-11-19,Non,217.6,340.4989791,0.526678848,53.19925651,0.8,1.9
M4,204,M,2014-12-03,Non,.,360.3026943,0.495584645,55.75219559,0.89,0.92
M5,205,M,2014-10-15,Non,234,.,.,.,.,.
M6,206,M,2014-12-03,Non,.,355.2034462,0.85995046,49.84511488,0.9,1.34
M8,208,M,2014-11-19,Non,218.7,364.5306929,0.679207004,49.64196844,2.19,1.18
M9,209,M,2014-11-19,Non,292.8,383.9454343,0.614585908,51.1511162,3.81,1.48
M13,213,M,2014-10-29,Non,277.4,357.2775873,0.489425673,42.15675643,2.41,1.02
M17,217,M,2014-12-03,Non,.,396.5765539,0.632048691,61.37899353,2.78,0.95
M18,218,M,2014-12-03,Non,.,350.5345792,0.947904822,56.41898794,1.71,1.31
M21,221,M,2014-10-29,Non,276.3,344.177924,0.662595988,45.1072585,0.81,0.58
M22,222,M,2014-10-15,Non,186.9,403.1263856,0.951285046,62.69990046,1.61,1.06
M24,224,M,2014-11-19,Non,244.9,406.7651792,0.824892739,56.18127105,3.59,1.19
M25,225,M,2014-10-15,Non,220.3,346.7925649,0.780653502,51.69049385,1.07,1.42
M30,230,M,2014-10-15,Non,194.4,357.7270279,0.809739874,52.97216331,1.65,0.77
F1,101,F,2014-12-03,Dig,.,368.1593835,2.255964816,61.60274318,0.02,2.57
F3,103,F,2014-11-19,Dig,214,385.9460792,2.384496568,61.19787095,2.69,1.22
F4,104,F,2014-11-19,Dig,242.3,337.8991963,2.059509484,64.17130768,0.98,0.65
F6,106,F,2014-11-19,Dig,250.5,381.0856891,2.347745592,66.48828333,1.02,1.62
F7,107,F,2014-11-19,Dig,252,407.5395758,2.237601802,65.06192121,1.06,1.25
F8,108,F,2014-11-19,Dig,238,394.661208,2.412857507,61.33882353,1.68,0.81
F9,109,F,2014-12-03,Dig,.,.,.,.,.,.
F10,110,F,2014-11-19,Dig,218.3,374.9006872,1.51658063,62.50351274,1.94,0.96
F11,111,F,2014-10-15,Dig,195.6,341.6997751,2.000637255,58.18583669,0.3,1.08
F13,113,F,.,Dig,227.7,.,.,.,.,.
F14,114,F,2014-10-15,Dig,170.7,385.0388845,1.260241733,58.89929152,1.22,1.44
F15,115,F,2014-12-03,Dig,.,367.3588591,5.379959829,74.45649816,1.54,0.91
F16,116,F,2014-12-03,Dig,.,390.858453,3.873079784,63.56142102,1.36,1.6
F20,120,F,2014-10-15,Dig,188.3,410.871818,1.315226349,62.06950845,2.24,2.88
F23,123,F,2014-12-03,Dig,.,369.9921779,1.300295034,71.80022309,0.56,0.95
F24,124,F,2014-12-03,Dig,.,403.3115844,2.421900163,80.27476494,0.58,0.42
F25,125,F,2014-10-15,Dig,176.6,366.5161946,1.120801603,63.43411782,2.62,1.7
F30,130,F,2014-10-29,Dig,248,372.6254967,1.008115917,68.39583037,2.8,1.41
M2,202,M,2014-12-03,Dig,.,361.9236798,1.516886539,56.37612712,2.17,1.42
M4,204,M,2014-11-19,Dig,241.2,409.4682826,0.809091573,69.48637439,3.44,1.71
M5,205,M,2014-10-29,Dig,266.9,367.3167253,2.961650884,70.3953142,0.89,0.79
M6,206,M,2014-11-19,Dig,261.6,382.3417149,0.771777458,63.79229092,2.73,1.42
M8,208,M,2014-12-03,Dig,.,350.2528031,3.580039374,61.79550497,2.04,1.76
M9,209,M,2014-12-03,Dig,.,404.2700104,1.633570084,64.02551671,0.94,0.65
M13,213,M,2014-10-15,Dig,242.3,.,.,.,.,.
M17,217,M,.,Dig,298.2,.,.,.,.,.
M18,218,M,2014-11-19,Dig,270.5,392.7298334,1.503743529,61.54412742,2.71,1.72
M21,221,M,2014-10-15,Dig,231.8,392.4743146,0.984233338,52.81596497,3.48,1.58
M22,222,M,2014-10-29,Dig,212.4,399.9583504,1.940860469,56.13947146,0.81,0.99
M24,224,M,.,Dig,.,.,.,.,.,.
M25,225,M,2014-10-29,Dig,234.2,409.7282009,1.515451929,68.16502905,2.33,2.11
M30,230,M,2014-10-29,Dig,225.4,366.389793,2.818723934,53.87767815,1.09,0.53
